DateKey,Year,Month,Day,WeekDay,WeekOfYear,Quarter
2017-05-07,2017,5,7,Sunday,18,2
2017-12-29,2017,12,29,Friday,52,4
2018-08-14,2018,8,14,Tuesday,33,3
2017-05-28,2017,5,28,Sunday,21,2
2017-03-27,2017,3,27,Monday,13,1
2017-03-17,2017,3,17,Friday,11,1
2018-08-22,2018,8,22,Wednesday,34,3
2018-07-08,2018,7,8,Sunday,27,3
2018-03-18,2018,3,18,Sunday,11,1
2017-01-23,2017,1,23,Monday,4,1
2017-01-26,2017,1,26,Thursday,4,1
2018-07-26,2018,7,26,Thursday,30,3
2018-03-28,2018,3,28,Wednesday,13,1
2017-05-24,2017,5,24,Wednesday,21,2
2017-05-17,2017,5,17,Wednesday,20,2
2018-03-25,2018,3,25,Sunday,12,1
2017-10-10,2017,10,10,Tuesday,41,4
2017-06-13,2017,6,13,Tuesday,24,2
2017-08-17,2017,8,17,Thursday,33,3
2018-01-30,2018,1,30,Tuesday,5,1
2018-07-16,2018,7,16,Monday,29,3
2017-11-22,2017,11,22,Wednesday,47,4
2018-01-25,2018,1,25,Thursday,4,1
2017-03-06,2017,3,6,Monday,10,1
2018-06-15,2018,6,15,Friday,24,2
2017-03-21,2017,3,21,Tuesday,12,1
2017-02-15,2017,2,15,Wednesday,7,1
2018-07-15,2018,7,15,Sunday,28,3
2017-07-06,2017,7,6,Thursday,27,3
2017-11-24,2017,11,24,Friday,47,4
2018-03-08,2018,3,8,Thursday,10,1
2018-08-16,2018,8,16,Thursday,33,3
2018-04-20,2018,4,20,Friday,16,2
2018-06-22,2018,6,22,Friday,25,2
2018-04-09,2018,4,9,Monday,15,2
2017-08-24,2017,8,24,Thursday,34,3
2017-09-13,2017,9,13,Wednesday,37,3
2017-11-25,2017,11,25,Saturday,47,4
2017-10-23,2017,10,23,Monday,43,4
2018-07-05,2018,7,5,Thursday,27,3
2017-12-13,2017,12,13,Wednesday,50,4
2018-03-12,2018,3,12,Monday,11,1
2017-04-25,2017,4,25,Tuesday,17,2
2018-07-17,2018,7,17,Tuesday,29,3
2018-06-29,2018,6,29,Friday,26,2
2018-08-28,2018,8,28,Tuesday,35,3
2018-05-06,2018,5,6,Sunday,18,2
2017-05-31,2017,5,31,Wednesday,22,2
2016-10-03,2016,10,3,Monday,40,4
2018-02-13,2018,2,13,Tuesday,7,1
2017-12-18,2017,12,18,Monday,51,4
2018-05-10,2018,5,10,Thursday,19,2
2018-04-03,2018,4,3,Tuesday,14,2
2017-07-27,2017,7,27,Thursday,30,3
2017-11-19,2017,11,19,Sunday,46,4
2018-06-08,2018,6,8,Friday,23,2
2017-09-27,2017,9,27,Wednesday,39,3
2017-08-15,2017,8,15,Tuesday,33,3
2017-10-14,2017,10,14,Saturday,41,4
2017-04-20,2017,4,20,Thursday,16,2
2018-01-08,2018,1,8,Monday,2,1
2017-08-26,2017,8,26,Saturday,34,3
2018-05-22,2018,5,22,Tuesday,21,2
2017-02-02,2017,2,2,Thursday,5,1
2017-11-27,2017,11,27,Monday,48,4
2018-07-25,2018,7,25,Wednesday,30,3
2017-08-01,2017,8,1,Tuesday,31,3
2017-03-13,2017,3,13,Monday,11,1
2018-03-10,2018,3,10,Saturday,10,1
